s,Pa,rpm
9.83352000,-0.953383326530457,1133.62584784546
9.83354000,-0.943809032440186,1133.62944666439
9.83356000,-0.949544250965118,1133.63304548331
9.83358000,-0.928302466869354,1133.63664430223
9.83360000,-0.910946726799011,1133.64024312116
9.83362000,-0.914466679096222,1133.64384194008
9.83364000,-0.93611204624176,1133.64744075901
9.83366000,-0.932122766971588,1133.65103957793
9.83368000,-0.922022819519043,1133.65463839685
9.83370000,-0.930602133274078,1133.65823721578
9.83372000,-0.945648789405823,1133.6618360347
9.83374000,-0.925814986228943,1133.66543485362
9.83376000,-0.871072590351105,1133.66903367255
9.83378000,-0.818235695362091,1133.67263249147
9.83380000,-0.756866335868835,1133.6762313104
9.83382000,-0.661320567131042,1133.67983012932
9.83384000,-0.546635627746582,1133.68342894824
9.83386000,-0.455811262130737,1133.68702776717
9.83388000,-0.373979240655899,1133.69062658609
9.83390000,-0.271074414253235,1133.69422540501
9.83392000,-0.16067910194397,1133.69782422394
9.83394000,-0.0697609037160873,1133.70142304286
9.83396000,0.00768759101629257,1133.70502186178
9.83398000,0.110367149114609,1133.70862068071
9.83400000,0.212323948740959,1133.71221949963
9.83402000,0.275063693523407,1133.71581831856
9.83404000,0.292813688516617,1133.71941713748
9.83406000,0.308198243379593,1133.7230159564
9.83408000,0.326492667198181,1133.72661477533
9.83410000,0.305898547172546,1133.73021359425
9.83412000,0.267441809177399,1133.73381241317
9.83414000,0.264391183853149,1133.7374112321
9.83416000,0.278630584478378,1133.74101005102
9.83418000,0.261162221431732,1133.74460886994
9.83420000,0.222461432218552,1133.74820768887
9.83422000,0.192584007978439,1133.75180650779
9.83424000,0.17279714345932,1133.75540532672
9.83426000,0.128351792693138,1133.75900414564
9.83428000,0.0546297691762447,1133.76260296456
9.83430000,-0.00216829497367144,1133.76620178349
9.83432000,-0.0350306369364262,1133.76980060241
9.83434000,-0.0733465626835823,1133.77339942133
9.83436000,-0.130548253655434,1133.77699824026
9.83438000,-0.168010011315346,1133.78059705918
9.83440000,-0.186670482158661,1133.78419587811
9.83442000,-0.213581740856171,1133.78779469703
9.83444000,-0.264391183853149,1133.79139351595
9.83446000,-0.313088655471802,1133.79499233488
9.83448000,-0.350052922964096,1133.7985911538
9.83450000,-0.399398058652878,1133.80218997272
9.83452000,-0.461311787366867,1133.80578879165
9.83454000,-0.500059485435486,1133.80938761057
9.83456000,-0.52179878950119,1133.81298642949
9.83458000,-0.560386896133423,1133.81658524842
9.83460000,-0.618076682090759,1133.82018406734
9.83462000,-0.663629651069641,1133.82378288627
9.83464000,-0.697111546993256,1133.82738170519
9.83466000,-0.754078567028046,1133.83098052411
9.83468000,-0.836361110210419,1133.83457934304
9.83470000,-0.899570167064667,1133.83817816196
9.83472000,-0.94281405210495,1133.84177698088
9.83474000,-0.99612033367157,1133.84537579981
9.83476000,-1.05400729179382,1133.84897461873
9.83478000,-1.0867006778717,1133.85257343765
9.83480000,-1.09778618812561,1133.85617225658
9.83482000,-1.12629306316376,1133.8597710755
9.83484000,-1.17241871356964,1133.86336989443
9.83486000,-1.19042205810547,1133.86696871335
9.83488000,-1.17955243587494,1133.87056753227
9.83490000,-1.16891753673553,1133.8741663512
9.83492000,-1.16245019435883,1133.87776517012
9.83494000,-1.13483488559723,1133.88136398904
9.83496000,-1.08842778205872,1133.88496280797
9.83498000,-1.0585972070694,1133.88856162689
9.83500000,-1.05446720123291,1133.89216044582
9.83502000,-1.03285932540894,1133.89575926474
9.83504000,-0.994712352752686,1133.89935808366
9.83506000,-0.977394163608551,1133.90295690259
9.83508000,-0.975742101669311,1133.90655572151
9.83510000,-0.949196934700012,1133.91015454043
9.83512000,-0.898021399974823,1133.91375335936
9.83514000,-0.860625386238098,1133.91735217828
9.83516000,-0.850422203540802,1133.9209509972
9.83518000,-0.825923264026642,1133.92454981613
9.83520000,-0.774466156959534,1133.92814863505
9.83522000,-0.733371794223785,1133.93174745398
9.83524000,-0.706507444381714,1133.9353462729
